,start,end,duration
2668,1241619258,1241620480,1222
2673,1241620480,1241624576,4096
2674,1241624576,1241628672,4096
2675,1241628672,1241632768,4096
2676,1241632768,1241636864,4096
2677,1241636864,1241640960,4096
2678,1241640960,1241645056,4096
2679,1241645056,1241649152,4096
2680,1241649152,1241653248,4096
2681,1241653248,1241657344,4096
2682,1241657344,1241661440,4096
2683,1241661440,1241665536,4096
2684,1241665536,1241669632,4096
2685,1241669632,1241673728,4096
2686,1241673728,1241677824,4096
2687,1241677824,1241681920,4096
2688,1241681920,1241686016,4096
2689,1241686016,1241690112,4096
2690,1241690112,1241694208,4096
2691,1241694208,1241698304,4096
2692,1241698304,1241702400,4096
5009,1241702400,1241706496,4096
5010,1241706496,1241710592,4096
5011,1241710592,1241714688,4096
5012,1241714688,1241718784,4096
5013,1241718784,1241722880,4096
5007,1241722880,1241724616,1736
5008,1241731918,1241735168,3250
5014,1241735168,1241739264,4096
5015,1241739264,1241743360,4096
5016,1241743360,1241747456,4096
5017,1241747456,1241751552,4096
5018,1241751552,1241755648,4096
5019,1241755648,1241759744,4096
5020,1241759744,1241763840,4096
5021,1241763840,1241767936,4096
5022,1241767936,1241772032,4096
5023,1241772032,1241776128,4096
5024,1241776128,1241780224,4096
5025,1241780224,1241784320,4096
5026,1241784320,1241788416,4096
5027,1241788416,1241792512,4096
5028,1241792512,1241796608,4096
5029,1241796608,1241800704,4096
4303,1241800704,1241804800,4096
4304,1241804800,1241808896,4096
4305,1241808896,1241812992,4096
4306,1241812992,1241817088,4096
4297,1241817088,1241818103,1015
4293,1241827164,1241827167,3
4302,1241833950,1241837568,3618
4307,1241837568,1241841664,4096
4308,1241841664,1241845760,4096
4309,1241845760,1241849856,4096
4299,1241849856,1241852447,2591
4298,1241852500,1241853952,1452
4301,1241853952,1241857273,3321
4295,1241857372,1241858048,676
4310,1241858048,1241862144,4096
4311,1241862144,1241866240,4096
4312,1241866240,1241870336,4096
4313,1241870336,1241874432,4096
4296,1241874432,1241875147,715
4294,1241895041,1241895630,589
4300,1241895779,1241898383,2604
624,1241903688,1241906660,2972
618,1241912375,1241912609,234
622,1241912666,1241915392,2726
625,1241915392,1241919488,4096
626,1241919488,1241923584,4096
627,1241923584,1241927680,4096
628,1241927680,1241931776,4096
629,1241931776,1241935872,4096
620,1241935872,1241936855,983
617,1241939952,1241939968,16
630,1241939968,1241944064,4096
631,1241944064,1241948160,4096
632,1241948160,1241952256,4096
633,1241952256,1241956352,4096
634,1241956352,1241960448,4096
635,1241960448,1241964544,4096
636,1241964544,1241968640,4096
637,1241968640,1241972736,4096
638,1241972736,1241976832,4096
639,1241976832,1241980928,4096
640,1241980928,1241985024,4096
623,1241985024,1241987836,2812
621,1241987937,1241989120,1183
641,1241989120,1241993216,4096
619,1241993216,1241993474,258
3383,1242003997,1242005504,1507
3388,1242005504,1242009600,4096
3389,1242009600,1242013696,4096
3387,1242014096,1242017792,3696
3382,1242017792,1242018985,1193
3386,1242019080,1242021888,2808
